pais,n,porcentaje
El Salvador,83,19.9
Honduras,80,19.2
Costa Rica,72,17.3
Nicaragua,64,15.3
Guatemala,38,9.1
Panamá,30,7.2
Argentina,18,4.3
República Dominicana,18,4.3
Colombia,7,1.7
Belice,5,1.2
Cuba,1,0.2
México,1,0.2
